Id,Fecha,Anio,Mes,Día,Rol,Victima,Sexo,Edad,Gravedad,Rango_Etario,Sentencia,Cantidad_Víctimas,Hora,Parte_Horaria,Lugar_del_Hecho,Tipo_de_Calle,Calle,Cruce,Dirección_Normalizada,Comuna,Pos X,Pos Y,Participantes,Víctima,Acusado
2016-0015,2016-02-14,2016,2,14,PEATON,PEATON,FEMENINO,16,FATAL,ADOLESCENTE,HOMOCIDIO CULPOSO,1,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,AV. RAUL SCALABRINI ORTIZ,SI,AV. RAUL SCALABRINI ORTIZ Y SI,15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO
2016-0016,2016-02-14,2016,2,14,PASAJERO,MOTO,FEMENINO,19,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,AV. REGIMIENTO DE PATRICIOS,SI,AV. REGIMIENTO DE PATRICIOS Y SI,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
2016-0017,2016-02-15,2016,2,15,PEATON,PEATON,MASCULINO,59,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,MARIANO ACOSTA,SI,MARIANO ACOSTA Y SI,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
2016-0019,2016-02-17,2016,2,17,PEATON,PEATON,FEMENINO,65,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,LISANDRO DE LA TORRE,SI,LISANDRO DE LA TORRE Y SI,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0020,2016-02-17,2016,2,17,PEATON,PEATON,MASCULINO,59,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,16:00:00,16,SUIPACHA 156,CALLE,SUIPACHA,NO,SUIPACHA Y NO,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
2016-0021,2016-02-17,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO
2016-0022,2016-02-21,2016,2,21,PASAJERO,MOTO,MASCULINO,41,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,AV. 9 DE JULIO,SI,AV. 9 DE JULIO Y SI,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO
2016-0025,2016-02-28,2016,2,28,PASAJERO,AUTO,MASCULINO,34,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO
2016-0026,2016-02-28,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,07:30:00,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,SI,HOLMBERG Y SI,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,2016-02-28,2016,2,28,PASAJERO,AUTO,MASCULINO,34,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,AV. CURAPALIGUE,SI,AV. CURAPALIGUE Y SI,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO
2016-0028,2016-03-02,2016,3,2,PEATON,PEATON,MASCULINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,SI,VIAMONTE Y SI,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS
2016-0029,2016-03-04,2016,3,4,PEATON,PEATON,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,AV. CABILDO,SI,AV. CABILDO Y SI,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0031,2016-03-08,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0034,2016-03-12,2016,3,12,PEATON,PEATON,MASCULINO,52,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,AV. AMANCIO ALCORTA,SI,AV. AMANCIO ALCORTA Y SI,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0035,2016-03-13,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,06:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,AV. CORRIENTES,SI,AV. CORRIENTES Y SI,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0036,2016-03-14,2016,3,14,PASAJERO,MOTO,MASCULINO,36,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,SI,HERRERA Y SI,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0037,2016-03-19,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,11:00:00,11,AV. EVA PERON Y QUIRNO,AVENIDA,AV. LAFUENTE,SI,AV. LAFUENTE Y SI,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO
2016-0038,2016-03-21,2016,3,21,PEATON,PEATON,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0039,2016-03-23,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,BARTOLOME MITRE,SI,BARTOLOME MITRE Y SI,3,-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0041,2016-03-29,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,2,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS
2016-0041,2016-03-29,2016,3,29,PASAJERO,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,2,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS
2016-0043,2016-03-30,2016,3,30,PEATON,PEATON,FEMENINO,56,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,TENIENTE GENERAL LUIS DELLEPIANE,SI,TENIENTE GENERAL LUIS DELLEPIANE Y SI,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS
2016-0044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,AV. JOSE MARIA MORENO,SI,AV. JOSE MARIA MORENO Y SI,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE
2016-0045,2016-04-11,2016,4,11,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,13,-58.46743471,-34.53476874,MOTO-SD,MOTO,SD
2016-0047,2016-04-15,2016,4,15,PEATON,PEATON,MASCULINO,41,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,05:30:00,5,LIMA 1483,CALLE,LIMA,NO,LIMA Y NO,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0048,2016-04-15,2016,4,15,PEATON,PEATON,FEMENINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,AV. CORRIENTES,SI,AV. CORRIENTES Y SI,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS
"2016-0049,2016-04-17,2016,4,17,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:00:00,0,""AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700"",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI Y NO,4,-58.37714647568196,-34.63657525428238,SD-SD,SD,SD"
2016-0050,2016-04-19,2016,4,19,PEATON,PEATON,MASCULINO,78,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,TIMOTEO GORDILLO,SI,TIMOTEO GORDILLO Y SI,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,AV. AMANCIO ALCORTA,SI,AV. AMANCIO ALCORTA Y SI,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS
2016-0052,2016-04-20,2016,4,20,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,AV. LEOPOLDO LUGONES,NO,AV. LEOPOLDO LUGONES Y NO,13,0,0,MOTO-SD,MOTO,SD
2016-0053,2016-04-22,2016,4,22,PEATON,PEATON,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,AV. TRIUNVIRATO,SI,AV. TRIUNVIRATO Y SI,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0054,2016-04-23,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL,SI,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL Y SI,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO
2016-0055,2016-04-25,2016,4,25,PEATON,PEATON,MASCULINO,79,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,MARISCAL RAMON CASTILLA,SI,MARISCAL RAMON CASTILLA Y SI,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS
2016-0056,2016-04-26,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,04:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,AV. LUIS M. CAMPOS,NO,AV. LUIS M. CAMPOS Y NO,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,2016-05-04,2016,5,4,PEATON,PEATON,FEMENINO,57,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,14:00:00,14,LIMA 1471,CALLE,LIMA,NO,LIMA Y NO,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO
2016-0059,2016-05-08,2016,5,8,PEATON,PEATON,MASCULINO,37,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,SI,CIUDADELA Y SI,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0064,2016-05-14,2016,5,14,PEATON,PEATON,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,AV. JUAN B. JUSTO,SI,AV. JUAN B. JUSTO Y SI,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0065,2016-05-20,2016,5,20,PEATON,PEATON,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,AV. GAONA,SI,AV. GAONA Y SI,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO
2016-0067,2016-05-21,2016,5,21,PASAJERO,MOTO,FEMENINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,LISANDRO DE LA TORRE,SI,LISANDRO DE LA TORRE Y SI,8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0068,2016-05-22,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,AV. PRES. FIGUEROA ALCORTA,SI,AV. PRES. FIGUEROA ALCORTA Y SI,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0069,2016-05-23,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,03:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,AV. ENTRE RIOS,SI,AV. ENTRE RIOS Y SI,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS
2016-0073,2016-06-11,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,A. MAGARI?OS CERVANTES,NO,A. MAGARI?OS CERVANTES Y NO,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS
2016-0074,2016-06-12,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,06:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO
2016-0075,2016-06-12,2016,6,12,PEATON,PEATON,MASCULINO,42,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL,SI,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL Y SI,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO
2016-0076,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,53,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,AV. SAN MARTIN,SI,AV. SAN MARTIN Y SI,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0077,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,TENIENTE GENERAL JUAN DOMINGO PERON,SI,TENIENTE GENERAL JUAN DOMINGO PERON Y SI,1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0078,2016-06-13,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,AV. BELGRANO,SI,AV. BELGRANO Y SI,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO
2016-0079,2016-06-16,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,AV. DEL LIBERTADOR,SI,AV. DEL LIBERTADOR Y SI,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO
2016-0080,2016-06-18,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.52927982,-34.63931752,AUTO-SD,AUTO,SD
2016-0081,2016-06-22,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,AV. CRISOLOGO LARRALDE,SI,AV. CRISOLOGO LARRALDE Y SI,12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO
2016-0082,2016-06-27,2016,6,27,PEATON,PEATON,MASCULINO,87,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,18:24:00,18,AV LA PLATA 2384,AVENIDA,AV. LA PLATA,NO,AV. LA PLATA Y NO,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO
2016-0083,2016-06-28,2016,6,28,PEATON,PEATON,FEMENINO,76,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO
2016-0084,2016-06-29,2016,6,29,PEATON,PEATON,MASCULINO,57,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,CARLOS PELLEGRINI,SI,CARLOS PELLEGRINI Y SI,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0085,2016-06-29,2016,6,29,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,AV. INTENDENTE FRANCISCO RABANAL,SI,AV. INTENDENTE FRANCISCO RABANAL Y SI,4,-58.42378834,-34.65734100,MOTO-MOVIL,MOTO,OTRO
2016-0086,2016-06-30,2016,6,30,PEATON,PEATON,MASCULINO,75,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,16:10:00,16,AV OLIVERA Y RAMON FALCON,AVENIDA,AV. OLIVERA,SI,AV. OLIVERA Y SI,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0087,2016-07-03,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,00:10:00,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI Y NO,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0088,2016-07-11,2016,7,11,PEATON,PEATON,FEMENINO,70,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,15:30:00,15,CERETTI Y NUÑEZ,CALLE,CERETTI,SI,CERETTI Y SI,12,-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO
2016-0089,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,06:40:00,6,AV LUGONES Y LA PAMPA,AUTOPISTA,AV. LEOPOLDO LUGONES,SI,AV. LEOPOLDO LUGONES Y SI,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO
2016-0090,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,22:00:00,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,JERONIMO SALGUERO,SI,JERONIMO SALGUERO Y SI,5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0092,2016-07-15,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,11:00:00,11,AV GRAL PAZ Y AV LIBERTADOR ,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS
2016-0093,2016-07-17,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,03:30:00,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO
2016-0095,2016-07-23,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,06:12:00,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,SI,MERCEDES Y SI,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO
